protein,elastic_network,time_ps,rmsd_nm
alphasynuclein,True,0.0,0.0049773
alphasynuclein,True,10000.0,3.0812805
alphasynuclein,True,20000.0,3.2513764
alphasynuclein,True,30000.0,3.4469903
alphasynuclein,True,40000.0,2.5287051
alphasynuclein,True,50000.0,3.2040074
alphasynuclein,True,60000.0,2.4880855
alphasynuclein,True,70000.0,1.928403
alphasynuclein,True,80000.0,2.0091846
alphasynuclein,True,90000.0,2.5578582
alphasynuclein,True,100000.0,2.8941736
alphasynuclein,True,110000.0,3.299515
alphasynuclein,True,120000.0,3.3675208
alphasynuclein,True,130000.0,3.4967296
alphasynuclein,True,140000.0,3.0971246
alphasynuclein,True,150000.0,2.9122083
alphasynuclein,True,160000.0,3.3687613
alphasynuclein,True,170000.0,3.1623406
alphasynuclein,True,180000.0,2.803117
alphasynuclein,True,190000.0,2.9065616
alphasynuclein,True,200000.0,2.9326389
alphasynuclein,True,210000.0,2.8945463
alphasynuclein,True,220000.0,2.3000882
alphasynuclein,True,230000.0,2.8566985
alphasynuclein,True,240000.0,2.8925841
alphasynuclein,True,250000.0,2.2923532
alphasynuclein,True,260000.0,2.2279408
alphasynuclein,True,270000.0,2.7969217
alphasynuclein,True,280000.0,3.0807612
alphasynuclein,True,290000.0,2.5014749
alphasynuclein,True,300000.0,3.0815625
alphasynuclein,True,310000.0,2.8795612
alphasynuclein,True,320000.0,3.2591493
alphasynuclein,True,330000.0,3.2367427
alphasynuclein,True,340000.0,3.4225876
alphasynuclein,True,350000.0,2.4477558
alphasynuclein,True,360000.0,2.7328553
alphasynuclein,True,370000.0,2.4344549
alphasynuclein,True,380000.0,2.4893317
alphasynuclein,True,390000.0,3.0279622
alphasynuclein,True,400000.0,2.2874069
alphasynuclein,True,410000.0,2.1554952
alphasynuclein,True,420000.0,2.5028574
alphasynuclein,True,430000.0,2.6162643
alphasynuclein,True,440000.0,2.653302
alphasynuclein,True,450000.0,2.7293997
alphasynuclein,True,460000.0,3.2542214
alphasynuclein,True,470000.0,3.1895058
alphasynuclein,True,480000.0,3.0698438
alphasynuclein,True,490000.0,2.495513
alphasynuclein,True,500000.0,2.7231975
alphasynuclein,True,510000.0,2.3418059
alphasynuclein,True,520000.0,2.1329536
alphasynuclein,True,530000.0,1.9063541
alphasynuclein,True,540000.0,3.0884898
alphasynuclein,True,550000.0,2.1902506
alphasynuclein,True,560000.0,2.4087629
alphasynuclein,True,570000.0,3.1464396
alphasynuclein,True,580000.0,3.1403339
alphasynuclein,True,590000.0,3.085737
alphasynuclein,True,600000.0,2.7309785
alphasynuclein,True,610000.0,2.7943847
alphasynuclein,True,620000.0,2.8308203
alphasynuclein,True,630000.0,2.9245734
alphasynuclein,True,640000.0,3.1185224
alphasynuclein,True,650000.0,2.9894495
alphasynuclein,True,660000.0,2.165664
alphasynuclein,True,670000.0,2.6246283
alphasynuclein,True,680000.0,2.7619092
